"","gene","EC_number","COG","product","MAG"
"294","ispF","4.6.1.12","","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","Limnohabitans sp. 1"
"295","ispD","2.7.7.60","","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","Limnohabitans sp. 1"
"296","mfd","3.6.4.-","COG1197","Transcription-repair-coupling factor","Limnohabitans sp. 1"
"297","fdhL","1.1.99.11","","Fructose dehydrogenase large subunit","Limnohabitans sp. 1"
"298","gloA","4.4.1.5","","Lactoylglutathione lyase","Limnohabitans sp. 1"
"299","nirM","","COG4654","Cytochrome c-551","Limnohabitans sp. 1"
"300","rpe","5.1.3.1","COG0036","Ribulose-phosphate 3-epimerase","Limnohabitans sp. 1"
"301","cbbZC","3.1.3.18","COG0546","Phosphoglycolate phosphatase, chromosomal","Limnohabitans sp. 1"
"302","trpE","4.1.3.27","COG0147","Anthranilate synthase component 1","Limnohabitans sp. 1"
"303","trpG","4.1.3.27","COG0512","Anthranilate synthase component 2","Limnohabitans sp. 1"
"304","ltaE","4.1.2.48","COG2008","Low specificity L-threonine aldolase","Limnohabitans sp. 1"
"305","leuE","","COG1280","Leucine efflux protein","Limnohabitans sp. 1"
"306","trpD","2.4.2.18","COG0547","Anthranilate phosphoribosyltransferase","Limnohabitans sp. 1"
"307","trpC","4.1.1.48","","Indole-3-glycerol phosphate synthase","Limnohabitans sp. 1"
"308","ung","3.2.2.27","COG0692","Uracil-DNA glycosylase","Limnohabitans sp. 1"
"309","tam","2.1.1.144","","Trans-aconitate 2-methyltransferase","Limnohabitans sp. 1"
"310","dnaK","","COG0443","Chaperone protein DnaK","Limnohabitans sp. 1"
"311","fadH","1.3.1.34","COG1028","putative 2,4-dienoyl-CoA reductase","Limnohabitans sp. 1"
"312","yhaZ","","COG4335","putative protein YhaZ","Limnohabitans sp. 1"
"313","accA1","","COG4770","Acetyl-/propionyl-coenzyme A carboxylase alpha chain","Limnohabitans sp. 1"
"314","mmgC","1.3.99.-","COG1960","Acyl-CoA dehydrogenase","Limnohabitans sp. 1"
"315","yjhB","","","Putative metabolite transport protein YjhB","Limnohabitans sp. 1"
"316","badR","","","Transcriptional activatory protein BadR","Limnohabitans sp. 1"
"317","C1-hpah","1.5.1.36","","p-hydroxyphenylacetate 3-hydroxylase, reductase component","Limnohabitans sp. 1"
"318","nicX","1.13.11.9","COG2309","2,5-dihydroxypyridine 5,6-dioxygenase","Limnohabitans sp. 1"
"319","ccp","1.11.1.5","COG1858","Cytochrome c551 peroxidase","Limnohabitans sp. 1"
"320","rfbD","5.4.99.9","","UDP-galactopyranose mutase","Limnohabitans sp. 1"
"321","cooF","","COG1142","Iron-sulfur protein","Limnohabitans sp. 1"
"322","ydhV","1.-.-.-","COG2414","putative oxidoreductase YdhV","Limnohabitans sp. 1"
"323","padH","1.2.1.58","","NADH-dependent phenylglyoxylate dehydrogenase subunit epsilon","Limnohabitans sp. 1"
"324","crcB","","COG0239","Putative fluoride ion transporter CrcB","Limnohabitans sp. 1"
"325","rdgC","","COG2974","Recombination-associated protein RdgC","Limnohabitans sp. 1"
"326","frzE","2.7.13.3","COG0643","Gliding motility regulatory protein","Limnohabitans sp. 1"
"327","lcfB","6.2.1.3","COG0318","Long-chain-fatty-acid--CoA ligase","Limnohabitans sp. 1"
"328","limB","1.14.13.107","","Limonene 1,2-monooxygenase","Limnohabitans sp. 1"
"329","xecA1","4.4.1.23","","2-hydroxypropyl-CoM lyase","Limnohabitans sp. 1"
"330","murB","1.3.1.98","COG0812","UDP-N-acetylenolpyruvoylglucosamine reductase","Limnohabitans sp. 1"
"331","argG","6.3.4.5","COG0137","Argininosuccinate synthase","Limnohabitans sp. 1"
"332","ppnP","2.4.2.2","COG3123","Pyrimidine/purine nucleoside phosphorylase","Limnohabitans sp. 1"
"333","yffB","","COG1393","Protein YffB","Limnohabitans sp. 1"
"334","folC","6.3.2.12","COG0285","Dihydrofolate synthase/folylpolyglutamate synthase","Limnohabitans sp. 1"
"335","dedD","","","Cell division protein DedD","Limnohabitans sp. 1"
"336","cvpA","","COG1286","Colicin V production protein","Limnohabitans sp. 1"
"337","purF","2.4.2.14","COG0034","Amidophosphoribosyltransferase","Limnohabitans sp. 1"
"338","dppC","","COG1173","Dipeptide transport system permease protein DppC","Limnohabitans sp. 1"
"339","hipO","3.5.1.32","COG1473","Hippurate hydrolase","Limnohabitans sp. 1"
"340","hbpA","","COG0747","Heme-binding protein A","Limnohabitans sp. 1"
"341","coq7","1.14.13.-","COG2941","2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase","Limnohabitans sp. 1"
"342","yhfA","","COG1765","Protein YhfA","Limnohabitans sp. 1"
"343","ilvA","4.3.1.19","COG1171","L-threonine dehydratase biosynthetic IlvA","Limnohabitans sp. 1"
"344","xcpT","","COG2165","Type II secretion system protein G","Limnohabitans sp. 1"
"345","xcpV","","COG2165","Type II secretion system protein I","Limnohabitans sp. 1"
"346","xcpQ","","COG1450","Type II secretion system protein D","Limnohabitans sp. 1"
"347","hxcR","","COG2804","putative type II secretion system protein HxcR","Limnohabitans sp. 1"
"348","epsF","","COG1459","Type II secretion system protein F","Limnohabitans sp. 1"
"349","ytrE","","COG1136","ABC transporter ATP-binding protein YtrE","Limnohabitans sp. 1"
"350","ribN","","","Riboflavin transporter","Limnohabitans sp. 1"
"351","nlhH","3.1.1.1","COG0657","Carboxylesterase NlhH","Limnohabitans sp. 1"
"352","nylB","3.5.1.46","","6-aminohexanoate-dimer hydrolase","Limnohabitans sp. 1"
"353","aceE","1.2.4.1","COG2609","Pyruvate dehydrogenase E1 component","Limnohabitans sp. 1"
"354","lrp","","COG1522","Leucine-responsive regulatory protein","Limnohabitans sp. 1"
"355","polC","2.7.7.7","COG2176","DNA polymerase III PolC-type","Limnohabitans sp. 1"
"356","fitA","","","Antitoxin FitA","Limnohabitans sp. 1"
"357","fitB","3.1.-.-","","Toxin FitB","Limnohabitans sp. 1"
"358","radD","3.6.4.12","COG1061","Putative DNA repair helicase RadD","Limnohabitans sp. 1"
"359","fic","2.7.7.-","COG3177","Adenosine monophosphate-protein transferase SoFic","Limnohabitans sp. 1"
"360","higA","","COG5499","Antitoxin HigA","Limnohabitans sp. 1"
"361","yeiG","3.1.2.12","COG0627","S-formylglutathione hydrolase YeiG","Limnohabitans sp. 1"
"362","lptB","3.6.3.-","COG1137","Lipopolysaccharide export system ATP-binding protein LptB","Limnohabitans sp. 1"
"363","aspS","6.1.1.23","COG0173","Aspartate--tRNA(Asp/Asn) ligase","Limnohabitans sp. 1"
"364","sglT","","","Sodium/glucose cotransporter","Limnohabitans sp. 1"
"365","ubiB","2.7.-.-","COG0661","putative protein kinase UbiB","Limnohabitans sp. 1"
"366","ctpF","3.6.3.-","","putative cation-transporting ATPase F","Limnohabitans sp. 1"
"367","teaD","","COG0589","TRAP-T-associated universal stress protein TeaD","Limnohabitans sp. 1"
"368","bepC","","","Outer membrane efflux protein BepC","Limnohabitans sp. 1"
"369","apxIB","","COG2274","Toxin RTX-I translocation ATP-binding protein","Limnohabitans sp. 1"
"370","prsE","","","Type I secretion system membrane fusion protein PrsE","Limnohabitans sp. 1"
"371","rluB","5.4.99.22","COG1187","Ribosomal large subunit pseudouridine synthase B","Limnohabitans sp. 1"
"372","iscR","","COG1959","HTH-type transcriptional regulator IscR","Limnohabitans sp. 1"
"373","cysK","2.5.1.47","","Cysteine synthase","Limnohabitans sp. 1"
"374","liaR","","COG2197","Transcriptional regulatory protein LiaR","Limnohabitans sp. 1"
"375","nreC","","COG2197","Oxygen regulatory protein NreC","Limnohabitans sp. 1"
"376","lon","3.4.21.53","COG0466","Lon protease","Limnohabitans sp. 1"
"377","fom3","2.1.1.308","","2-hydroxyethylphosphonate methyltransferase","Limnohabitans sp. 1"
"378","rhtB","","COG1280","Homoserine/homoserine lactone efflux protein","Limnohabitans sp. 1"
"379","rpfC","2.7.13.3","COG0642","Sensory/regulatory protein RpfC","Limnohabitans sp. 1"
"380","csgA","","","C-factor","Limnohabitans sp. 1"
"381","pkn1","2.7.11.1","COG0515","Serine/threonine-protein kinase pkn1","Limnohabitans sp. 1"
"382","aroQ","4.2.1.10","","3-dehydroquinate dehydratase","Limnohabitans sp. 1"
"383","ftsB","","COG2919","Cell division protein FtsB","Limnohabitans sp. 1"
"384","gph","3.1.3.18","","Phosphoglycolate phosphatase","Limnohabitans sp. 1"
"385","potA","3.6.3.31","COG3842","Spermidine/putrescine import ATP-binding protein PotA","Limnohabitans sp. 1"
"386","phnU","","COG0555","Putative 2-aminoethylphosphonate transport system permease protein PhnU","Limnohabitans sp. 1"
"387","ygaZ","","COG1296","Inner membrane protein YgaZ","Limnohabitans sp. 1"
"388","fmt","2.1.2.9","COG0223","Methionyl-tRNA formyltransferase","Limnohabitans sp. 1"
"389","def1","3.5.1.88","","Peptide deformylase 1","Limnohabitans sp. 1"
"390","guaA","6.3.5.2","COG0518","GMP synthase [glutamine-hydrolyzing]","Limnohabitans sp. 1"
"391","dprA","","COG0758","DNA processing protein DprA","Limnohabitans sp. 1"
"392","slt","4.2.2.-","COG0741","Soluble lytic murein transglycosylase","Limnohabitans sp. 1"
"393","yrrB","","","TPR repeat-containing protein YrrB","Limnohabitans sp. 1"
"394","glpD2","1.1.5.3","COG0578","Glycerol-3-phosphate dehydrogenase 2","Limnohabitans sp. 1"
"395","araP","","COG1175","L-arabinose transport system permease protein AraP","Limnohabitans sp. 1"
"396","glpR","","COG1349","Glycerol-3-phosphate regulon repressor","Limnohabitans sp. 1"
"397","glpK","2.7.1.30","","Glycerol kinase","Limnohabitans sp. 1"
"398","proC","1.5.1.2","COG0345","Pyrroline-5-carboxylate reductase","Limnohabitans sp. 1"
"399","ubiA","2.5.1.-","COG0382","4-hydroxybenzoate octaprenyltransferase","Limnohabitans sp. 1"
"400","yliI","1.1.5.-","COG2133","Aldose sugar dehydrogenase YliI","Limnohabitans sp. 1"
"401","dhlA","3.8.1.5","","Haloalkane dehalogenase","Limnohabitans sp. 1"
"402","ldcA","3.4.17.13","COG1619","Murein tetrapeptide carboxypeptidase","Limnohabitans sp. 1"
"403","quiP","3.5.1.97","COG2366","Acyl-homoserine lactone acylase QuiP","Limnohabitans sp. 1"
"404","xerC","","","Tyrosine recombinase XerC","Limnohabitans sp. 1"
"405","aam","3.5.1.13","COG0154","Acylamidase","Limnohabitans sp. 1"
"406","gsiA","3.6.3.-","COG1123","Glutathione import ATP-binding protein GsiA","Limnohabitans sp. 1"
"407","mepM","3.4.24.-","COG0739","Murein DD-endopeptidase MepM","Limnohabitans sp. 1"
"408","coaX","2.7.1.33","","Type III pantothenate kinase","Limnohabitans sp. 1"
"409","slmA","","","Nucleoid occlusion factor SlmA","Limnohabitans sp. 1"
"410","rfbB","4.2.1.46","COG1088","dTDP-glucose 4,6-dehydratase","Limnohabitans sp. 1"
"411","argB","2.7.2.8","COG0548","Acetylglutamate kinase","Limnohabitans sp. 1"
"412","xpsE","","COG2804","Type II secretion system protein E","Limnohabitans sp. 1"
"413","epsG","","COG2165","Type II secretion system protein G","Limnohabitans sp. 1"
"414","bauA","2.6.1.18","COG0161","Beta-alanine--pyruvate aminotransferase","Limnohabitans sp. 1"
"415","zwf","1.1.1.363","COG0364","Glucose-6-phosphate 1-dehydrogenase","Limnohabitans sp. 1"
"416","tal","2.2.1.2","","Transaldolase","Limnohabitans sp. 1"
"417","pgi","5.3.1.9","COG0166","Glucose-6-phosphate isomerase","Limnohabitans sp. 1"
"418","mco","1.-.-.-","","Multicopper oxidase mco","Limnohabitans sp. 1"
"419","petE","","","Plastocyanin","Limnohabitans sp. 1"
"420","groL","","","60 kDa chaperonin","Limnohabitans sp. 1"
"421","livF","","COG0410","High-affinity branched-chain amino acid transport ATP-binding protein LivF","Limnohabitans sp. 1"
"422","artM","","COG1126","Arginine transport ATP-binding protein ArtM","Limnohabitans sp. 1"
"423","cpnA","1.1.1.163","","Cyclopentanol dehydrogenase","Limnohabitans sp. 1"
"424","secA","","COG0653","Protein translocase subunit SecA","Limnohabitans sp. 1"
"425","acnB","4.2.1.3","COG1049","Aconitate hydratase B","Limnohabitans sp. 1"
"426","ytnP","3.1.1.-","COG0491","putative quorum-quenching lactonase YtnP","Limnohabitans sp. 1"
"427","mltB","4.2.2.-","COG2951","Membrane-bound lytic murein transglycosylase B","Limnohabitans sp. 1"
"428","iorB","1.3.99.16","","Isoquinoline 1-oxidoreductase subunit beta","Limnohabitans sp. 1"
"429","iorA","1.3.99.16","","Isoquinoline 1-oxidoreductase subunit alpha","Limnohabitans sp. 1"
"430","kynA","1.13.11.11","COG3483","Tryptophan 2,3-dioxygenase","Limnohabitans sp. 1"
"431","kynU","3.7.1.3","","Kynureninase","Limnohabitans sp. 1"
"432","kynB","3.5.1.9","COG1878","Kynurenine formamidase","Limnohabitans sp. 1"
"433","argF","2.1.3.3","COG0078","Ornithine carbamoyltransferase, anabolic","Limnohabitans sp. 1"
"434","speG","2.3.1.57","","Spermidine N(1)-acetyltransferase","Limnohabitans sp. 1"
"435","ubiE","2.1.1.163","COG2226","Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE","Limnohabitans sp. 1"
"436","frc","2.8.3.16","COG1804","Formyl-CoA:oxalate CoA-transferase","Limnohabitans sp. 1"
"437","crt","4.2.1.150","COG1024","Short-chain-enoyl-CoA hydratase","Limnohabitans sp. 1"
"438","ppsC","2.3.1.41","","Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsC","Limnohabitans sp. 1"
"439","novR","4.1.-.-","","Decarboxylase NovR","Limnohabitans sp. 1"
"440","slcC","1.1.1.310","COG0111","(S)-sulfolactate dehydrogenase","Limnohabitans sp. 1"
"441","cirA","","COG4771","Colicin I receptor","Limnohabitans sp. 1"
"442","dus","1.3.1.-","COG0042","putative tRNA-dihydrouridine synthase","Limnohabitans sp. 1"
"443","fis","","COG2901","DNA-binding protein Fis","Limnohabitans sp. 1"
"444","purH","","COG0138","Bifunctional purine biosynthesis protein PurH","Limnohabitans sp. 1"
"445","vapC","3.1.-.-","","tRNA(fMet)-specific endonuclease VapC","Limnohabitans sp. 1"
"446","rhlE","3.6.4.13","COG0513","ATP-dependent RNA helicase RhlE","Limnohabitans sp. 1"
"447","tauR","","COG1167","HTH-type transcriptional regulator TauR","Limnohabitans sp. 1"
"448","tauA","","COG4521","Taurine-binding periplasmic protein","Limnohabitans sp. 1"
"449","tauB","3.6.3.36","COG4525","Taurine import ATP-binding protein TauB","Limnohabitans sp. 1"
"450","ssuC","","COG0600","Putative aliphatic sulfonates transport permease protein SsuC","Limnohabitans sp. 1"
"451","hpsN","1.1.1.308","","Sulfopropanediol 3-dehydrogenase","Limnohabitans sp. 1"
"452","rfbE","2.6.1.102","COG0399","GDP-perosamine synthase","Limnohabitans sp. 1"
"453","cuyA","4.4.1.25","","L-cysteate sulfo-lyase","Limnohabitans sp. 1"
"454","hsaD","3.7.1.17","","4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase","Limnohabitans sp. 1"
"455","mtlK","1.1.1.67","COG0246","Mannitol 2-dehydrogenase","Limnohabitans sp. 1"
"456","hcxB","1.1.1.-","COG2055","Hydroxycarboxylate dehydrogenase B","Limnohabitans sp. 1"
"457","garD","4.2.1.42","COG2721","Galactarate dehydratase (L-threo-forming)","Limnohabitans sp. 1"
"458","siaM","","COG1593","Sialic acid TRAP transporter large permease protein SiaM","Limnohabitans sp. 1"
"459","siaQ","","COG3090","Sialic acid TRAP transporter small permease protein SiaQ","Limnohabitans sp. 1"
"460","siaP","","COG1638","Sialic acid-binding periplasmic protein SiaP","Limnohabitans sp. 1"
"461","lldR","","COG2186","Putative L-lactate dehydrogenase operon regulatory protein","Limnohabitans sp. 1"
"462","sugA","","COG1175","Trehalose transport system permease protein SugA","Limnohabitans sp. 1"
"463","sugC","3.6.3.-","COG3839","Trehalose import ATP-binding protein SugC","Limnohabitans sp. 1"
"464","ysdC","3.4.11.-","COG1363","Putative aminopeptidase YsdC","Limnohabitans sp. 1"
"465","xylB","2.7.1.17","COG1070","Xylulose kinase","Limnohabitans sp. 1"
"466","lacR","","","Lactose phosphotransferase system repressor","Limnohabitans sp. 1"
"467","rsmD","2.1.1.171","COG0742","Ribosomal RNA small subunit methyltransferase D","Limnohabitans sp. 1"
"468","coaD","2.7.7.3","","Phosphopantetheine adenylyltransferase","Limnohabitans sp. 1"
"469","recJ","3.1.-.-","COG0608","Single-stranded-DNA-specific exonuclease RecJ","Limnohabitans sp. 1"
"470","sdhD","","COG2142","Succinate dehydrogenase hydrophobic membrane anchor subunit","Limnohabitans sp. 1"
"471","sdhC","","COG2009","Succinate dehydrogenase cytochrome b556 subunit","Limnohabitans sp. 1"
"472","mdh","1.1.1.37","","Malate dehydrogenase","Limnohabitans sp. 1"
"473","mcl1","4.1.3.24","COG2301","L-malyl-CoA/beta-methylmalyl-CoA lyase","Limnohabitans sp. 1"
"474","hspA","","COG0071","Spore protein SP21","Limnohabitans sp. 1"
"475","cspL","","COG1278","Cold shock protein 2","Limnohabitans sp. 1"
"476","hrp1","","","Hypoxic response protein 1","Limnohabitans sp. 1"
"477","rpsO","","COG0184","30S ribosomal protein S15","Limnohabitans sp. 1"
"478","pnp","2.7.7.8","COG1185","Polyribonucleotide nucleotidyltransferase","Limnohabitans sp. 1"
"479","tpiA","5.3.1.1","COG0149","Triosephosphate isomerase","Limnohabitans sp. 1"
"480","secG","","COG1314","Protein-export membrane protein SecG","Limnohabitans sp. 1"
"481","ndhC","1.6.5.-","","NAD(P)H-quinone oxidoreductase subunit 3","Limnohabitans sp. 1"
"482","nuoB","1.6.5.11","COG0377","NADH-quinone oxidoreductase subunit B","Limnohabitans sp. 1"
"483","nqo5","1.6.5.11","COG0852","NADH-quinone oxidoreductase chain 5","Limnohabitans sp. 1"
"484","nuoD","1.6.5.11","COG0649","NADH-quinone oxidoreductase subunit D","Limnohabitans sp. 1"
"485","nqo2","1.6.5.11","COG1905","NADH-quinone oxidoreductase subunit 2","Limnohabitans sp. 1"
"486","nuoF","1.6.5.11","","NADH-quinone oxidoreductase subunit F","Limnohabitans sp. 1"
"487","radA","3.6.4.-","COG1066","DNA repair protein RadA","Limnohabitans sp. 1"
"488","gcvA","","","Glycine cleavage system transcriptional activator","Limnohabitans sp. 1"
"489","purU","3.5.1.10","COG0788","Formyltetrahydrofolate deformylase","Limnohabitans sp. 1"
"490","ygaU","","COG1652","putative protein YgaU","Limnohabitans sp. 1"
"491","dnaQ","2.7.7.7","COG0847","DNA polymerase III subunit epsilon","Limnohabitans sp. 1"
"492","fdx","","COG0633","2Fe-2S ferredoxin","Limnohabitans sp. 1"
"493","hscA","","COG0443","Chaperone protein HscA","Limnohabitans sp. 1"
"494","hscB","","COG1076","Co-chaperone protein HscB ","Limnohabitans sp. 1"
"495","iscA","","COG0316","Iron-binding protein IscA","Limnohabitans sp. 1"
"496","iscU","","COG0822","Iron-sulfur cluster assembly scaffold protein IscU","Limnohabitans sp. 1"
"497","iscS","2.8.1.7","COG1104","Cysteine desulfurase IscS","Limnohabitans sp. 1"
"498","uvrB","","COG0556","UvrABC system protein B","Limnohabitans sp. 1"
"499","tyrB","2.6.1.57","COG1448","Aromatic-amino-acid aminotransferase","Limnohabitans sp. 1"
"500","dedA","","COG0586","Protein DedA","Limnohabitans sp. 1"
"501","gpx1","1.11.1.22","","Hydroperoxy fatty acid reductase gpx1","Limnohabitans sp. 1"
"502","sttH","3.5.2.19","","Streptothricin hydrolase","Limnohabitans sp. 1"
"503","cdhR","","COG4977","HTH-type transcriptional regulator CdhR","Limnohabitans sp. 1"
"504","hipA","2.7.11.1","COG3550","Serine/threonine-protein kinase toxin HipA","Limnohabitans sp. 1"
"505","lutA","","COG0247","Lactate utilization protein A","Limnohabitans sp. 1"
"506","glnK","","COG0347","Nitrogen regulatory protein P-II 2","Limnohabitans sp. 1"
"507","comM","","COG0606","Competence protein ComM","Limnohabitans sp. 1"
"508","rhdA","2.8.1.1","COG2897","Thiosulfate sulfurtransferase","Limnohabitans sp. 1"
"509","argO","","COG1279","Arginine exporter protein ArgO","Limnohabitans sp. 1"
"510","phnE","","COG3639","Phosphate-import permease protein PhnE","Limnohabitans sp. 1"
